amplicon,batch,start,end,chr
HOXA9_a_amp5,plasma only,27206380,27206506,chr7
HOXA9_b_amp6,plasma only,27205163,27205320,chr7
HOXA9_c_amp7,plasma only,27205047,27205187,chr7
HOXA9_d_amp8,plasma only,27204196,27204338,chr7
IFFO1_a_amp1,plasma only,6664970,6665134,chr12
IFFO1_b_amp2,plasma only,6664874,6664995,chr12
IFFO1_c_amp3,plasma only,6664390,6664564,chr12
IFFO1_d_amp4,plasma only,6664155,6664284,chr12
DAPK_a_amp32,2,90113880,90114070,chr9
DAPK_b_amp33,2,90112326,90112513,chr9
DAPK_c_amp34,2,90113543,90113753,chr9
DAPK_d_amp35,2,90112906,90113390,chr9
DAPK_e_amp36,2,90113733,90113904,chr9
RARb2_amp30,2,25215837,25216158,chr3
RARb3_amp31,2,25215837,25216087,chr3
TWIST1_p1p2,2,19156026,19156328,chr7
TWIST1_p3,2,19157841,19158101,chr7
TWIST1_p4,2,19157438,19157687,chr7
SFRP1_p1,2,41166196,41166399,chr8
SFRP1_p2,2,41165549,41165798,chr8
SFRP1_p3,2,41167318,41167551,chr8
SFRP1_p4,2,41166012,41166141,chr8
SFRP1_p5,2,41167029,41167179,chr8
DIDO1_p1,2,61530357,61530576,chr20
DIDO1_p2,2,61530621,61530871,chr20
DIDO1_p3,2,61529780,61530020,chr20
DIDO1_p4,2,61530502,61530678,chr20
DIDO1_p5,2,61529488,61529711,chr20
DIDO1_p6,2,61530776,61530911,chr20
DIDO1_p7,2,61530502,61530731,chr20
RARb2_p1p2,2,25215837,25216158,chr3
APC_b_amp45,1,112043031,112043181,chr5
APC_c_amp46,1,112043203,112043359,chr5
APC_d_amp47,1,112043373,112043601,chr5
APC_e_amp48,1,112043736,112043968,chr5
BRCA1_a_amp9,1,41278260,41278381,chr17
BRCA1_b_amp10,1,41278355,41278501,chr17
BRCA1_c_amp11,1,41278111,41278311,chr17
BRCA1_d_amp12,1,41278719,41278865,chr17
BRCA2_a_amp29,1,32885384,32885470,chr13
BRCA2_c_amp37,1,32885671,32885812,chr13
BRCA2_d_amp38,1,32889729,32889926,chr13
BRCA2_e_amp39,1,32889412,32889516,chr13
BRCA2_f_amp40,1,32889541,32889729,chr13
P16_b_amp25,1,21974714,21974923,chr9
P16_c_amp26,1,21974168,21974225,chr9
P16_d_amp27,1,21974832,21974990,chr9
P16_g_amp28,1,21974962,21975106,chr9
ESR1_a_amp41,1,152128740,152128835,chr6
ESR1_c_amp42,1,152129107,152129134,chr6
ESR1_d_amp43,1,152129153,152129324,chr6
ESR1_f_amp44,1,152129446,152129542,chr6
MHL1_c_amp21,1,37034986,37035142,chr3
MHL1_d_amp22,1,37034595,37034700,chr3
MHL1_e_amp23,1,37034859,37035010,chr3
MHL1_f_amp24,1,37034430,37034610,chr3
PGR_b_amp13,1,100999004,100999079,chr11
PGR_c_amp14,1,100999544,100999593,chr11
PGR_d_amp15,1,100999746,101000003,chr11
PGR_e_amp16,1,101000020,101000278,chr11
RASSF1A_a_amp17,1,50378388,50378614,chr3
RASSF1A_b_amp18,1,50377949,50378137,chr3
RASSF1A_c_amp19,1,50377778,50377970,chr3
RASSF1A_e_amp20,1,50378115,50378408,chr3
